"","X","id","Time","Sample","Value"
"1879",3079,1,8,"Cell_11",1.020224
"1880",3080,1,8.166667,"Cell_11",1.03773
"1881",3081,1,8.333333,"Cell_11",1.029135
"1882",3082,1,8.5,"Cell_11",1.034233
"1883",3083,1,8.666667,"Cell_11",1.044796
"1884",3084,1,8.833333,"Cell_11",1.038083
"1885",3085,1,9,"Cell_11",1.036631
"1886",3086,1,9.166667,"Cell_11",1.021427
"1887",3087,1,9.333333,"Cell_11",1.017224
"1888",3088,1,9.5,"Cell_11",1.034624
"1889",3089,1,9.666667,"Cell_11",1.022809
"1890",3090,1,9.833333,"Cell_11",1.023987
"1891",3091,1,10,"Cell_11",1.025777
"1892",3092,2,0,"Cell_11",1.008659
"1893",3093,2,0.1666667,"Cell_11",0.9791933
"1894",3094,2,0.3333333,"Cell_11",1.025066
"1895",3095,2,0.5,"Cell_11",1.000834
"1896",3096,2,0.6666667,"Cell_11",0.9865567
"1897",3097,2,0.8333333,"Cell_11",0.9930975
"1898",3098,2,1,"Cell_11",1.009009
"1899",3099,2,1.166667,"Cell_11",0.9961175
"1900",3100,2,1.333333,"Cell_11",1.022317
"1901",3101,2,1.5,"Cell_11",1.022623
"1902",3102,2,1.666667,"Cell_11",0.9739231
"1903",3103,2,1.833333,"Cell_11",1.045502
"1904",3104,2,2,"Cell_11",0.9734252
"1905",3105,2,2.166667,"Cell_11",0.9640642
"1906",3106,2,2.333333,"Cell_11",0.982788
"1907",3107,2,2.5,"Cell_11",0.9581094
"1908",3108,2,2.666667,"Cell_11",0.9609147
"1909",3109,2,2.833333,"Cell_11",0.9703213
"1910",3110,2,3,"Cell_11",0.9480823
"1911",3111,2,3.166667,"Cell_11",0.9914517
"1912",3112,2,3.333333,"Cell_11",1.004548
"1913",3113,2,3.5,"Cell_11",0.9882025
"1914",3114,2,3.666667,"Cell_11",1.028458
"1915",3115,2,3.833333,"Cell_11",1.037623
"1916",3116,2,4,"Cell_11",1.030952
"1917",3117,2,4.166667,"Cell_11",1.024792
"1918",3118,2,4.333334,"Cell_11",1.038404
"1919",3119,2,4.5,"Cell_11",1.046244
"1920",3120,2,4.666667,"Cell_11",1.038079
"1921",3121,2,4.833334,"Cell_11",1.026617
"1922",3122,2,5,"Cell_11",1.063325
"1923",3123,2,5.166667,"Cell_11",1.065147
"1924",3124,2,5.333334,"Cell_11",1.036096
"1925",3125,2,5.5,"Cell_11",1.038057
"1926",3126,2,5.666667,"Cell_11",1.041279
"1927",3127,2,5.833334,"Cell_11",1.05306
"1928",3128,2,6,"Cell_11",0.9963992
"1929",3129,2,6.166667,"Cell_11",1.04381
"1930",3130,2,6.333334,"Cell_11",1.036088
"1931",3131,2,6.5,"Cell_11",1.029117
"1932",3132,2,6.666667,"Cell_11",1.036083
"1933",3133,2,6.833334,"Cell_11",1.025962
"1934",3134,2,7,"Cell_11",1.010842
"1935",3135,2,7.166667,"Cell_11",1.027349
"1936",3136,2,7.333334,"Cell_11",1.017964
"1937",3137,2,7.5,"Cell_11",0.9910682
"1938",3138,2,7.666667,"Cell_11",1.019175
"1939",3139,2,7.833334,"Cell_11",1.032444
"1940",3140,2,8,"Cell_11",1.022474
"1941",3141,2,8.166667,"Cell_11",1.026947
"1942",3142,2,8.333333,"Cell_11",1.014734
"1943",3143,2,8.5,"Cell_11",0.992969
"1944",3144,2,8.666667,"Cell_11",1.013651
"1945",3145,2,8.833333,"Cell_11",1.028601
"1946",3146,2,9,"Cell_11",1.016514
"1947",3147,2,9.166667,"Cell_11",1.027786
"1948",3148,2,9.333333,"Cell_11",1.061847
"1949",3149,2,9.5,"Cell_11",1.00743
