"Time","unique_id","id","Sample","Value"
22,"1_cell.6","1","cell.6",0.9534043764375
24,"1_cell.6","1","cell.6",0.961431258266199
26,"1_cell.6","1","cell.6",0.998700949866593
28,"1_cell.6","1","cell.6",0.95030424151214
30,"1_cell.6","1","cell.6",0.941564867557868
32,"1_cell.6","1","cell.6",0.957414980997847
34,"1_cell.6","1","cell.6",0.96442077538544
36,"1_cell.6","1","cell.6",1
38,"1_cell.6","1","cell.6",0.962741653815619
40,"1_cell.6","1","cell.6",0.986504627653374
42,"1_cell.6","1","cell.6",0.9318134824953
44,"1_cell.6","1","cell.6",0.96751240124879
46,"1_cell.6","1","cell.6",0.917310069935981
48,"1_cell.6","1","cell.6",0.974523868344389
50,"1_cell.6","1","cell.6",0.0813406764647571
52,"1_cell.6","1","cell.6",0.0649479685039906
54,"1_cell.6","1","cell.6",0.0924033079829467
56,"1_cell.6","1","cell.6",0.0342027420168689
58,"1_cell.6","1","cell.6",0.0376179958719704
60,"1_cell.6","1","cell.6",0.0368876347161788
62,"1_cell.6","1","cell.6",0.038426640398247
64,"1_cell.6","1","cell.6",0.0300230907579391
66,"1_cell.6","1","cell.6",0.054431618766793
68,"1_cell.6","1","cell.6",0.0319932222484743
70,"1_cell.6","1","cell.6",0.0655297047100213
72,"1_cell.6","1","cell.6",0.034006182684456
74,"1_cell.6","1","cell.6",0.0389760421686423
76,"1_cell.6","1","cell.6",0.0453734386225757
78,"1_cell.6","1","cell.6",0.0356234717370087
80,"1_cell.6","1","cell.6",0.0190861097220856
82,"1_cell.6","1","cell.6",0.027761382075888
84,"1_cell.6","1","cell.6",0.0158245862539507
86,"1_cell.6","1","cell.6",0.0121642714129837
88,"1_cell.6","1","cell.6",0.0120720899078839
90,"1_cell.6","1","cell.6",0.0248013630382798
92,"1_cell.6","1","cell.6",0.0190651207024629
94,"1_cell.6","1","cell.6",0.0256165311787631
96,"1_cell.6","1","cell.6",0.0242045941560329
98,"1_cell.6","1","cell.6",0.000382340519614354
100,"1_cell.6","1","cell.6",0.0365078469151671
102,"1_cell.6","1","cell.6",0.0309159749981069
104,"1_cell.6","1","cell.6",0.00364329671694867
106,"1_cell.6","1","cell.6",0.02553966598528
108,"1_cell.6","1","cell.6",0.017202487028644
110,"1_cell.6","1","cell.6",0
112,"1_cell.6","1","cell.6",0.00229234130528454
114,"1_cell.6","1","cell.6",0.0154677729203641
116,"1_cell.6","1","cell.6",0.00987079556609793
118,"1_cell.6","1","cell.6",0.0215006978849026
120,"1_cell.6","1","cell.6",0.00677661698414444
122,"1_cell.6","1","cell.6",0.036977263502676
124,"1_cell.6","1","cell.6",0.0258025960013648
126,"1_cell.6","1","cell.6",0.0108331704793411
128,"1_cell.6","1","cell.6",0.0135027468670343
130,"1_cell.6","1","cell.6",0.021095099262463
